Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,80088,1913,10,01,0.0,,Y
IDCJAC0009,80088,1913,10,02,0.0,,Y
IDCJAC0009,80088,1913,10,03,0.0,,Y
IDCJAC0009,80088,1913,10,04,0.0,,Y
IDCJAC0009,80088,1913,10,05,0.0,,Y
IDCJAC0009,80088,1913,10,06,0.0,,Y
IDCJAC0009,80088,1913,10,07,0.0,,Y
IDCJAC0009,80088,1913,10,08,0.0,,Y
IDCJAC0009,80088,1913,10,09,0.0,,Y
IDCJAC0009,80088,1913,10,10,0.0,,Y
IDCJAC0009,80088,1913,10,11,0.0,,Y
IDCJAC0009,80088,1913,10,12,0.0,,Y
IDCJAC0009,80088,1913,10,13,0.0,,Y
IDCJAC0009,80088,1913,10,14,10.2,1,Y
IDCJAC0009,80088,1913,10,15,2.3,1,Y
IDCJAC0009,80088,1913,10,16,0.0,,Y
IDCJAC0009,80088,1913,10,17,0.0,,Y
IDCJAC0009,80088,1913,10,18,0.0,,Y
IDCJAC0009,80088,1913,10,19,0.0,,Y
IDCJAC0009,80088,1913,10,20,0.0,,Y
IDCJAC0009,80088,1913,10,21,3.0,1,Y
IDCJAC0009,80088,1913,10,22,0.0,,Y
IDCJAC0009,80088,1913,10,23,0.0,,Y
IDCJAC0009,80088,1913,10,24,0.0,,Y
IDCJAC0009,80088,1913,10,25,0.0,,Y
IDCJAC0009,80088,1913,10,26,0.0,,Y
IDCJAC0009,80088,1913,10,27,3.3,1,Y
IDCJAC0009,80088,1913,10,28,18.3,1,Y
IDCJAC0009,80088,1913,10,29,0.0,,Y
IDCJAC0009,80088,1913,10,30,0.0,,Y
IDCJAC0009,80088,1913,10,31,0.0,,Y
IDCJAC0009,80088,1913,11,01,0.0,,Y
IDCJAC0009,80088,1913,11,02,0.0,,Y
IDCJAC0009,80088,1913,11,03,0.0,,Y
IDCJAC0009,80088,1913,11,04,0.0,,Y
IDCJAC0009,80088,1913,11,05,0.0,,Y
IDCJAC0009,80088,1913,11,06,0.0,,Y
IDCJAC0009,80088,1913,11,07,0.0,,Y
IDCJAC0009,80088,1913,11,08,0.0,,Y
IDCJAC0009,80088,1913,11,09,0.0,,Y
IDCJAC0009,80088,1913,11,10,0.0,,Y
IDCJAC0009,80088,1913,11,11,0.0,,Y
IDCJAC0009,80088,1913,11,12,0.0,,Y
IDCJAC0009,80088,1913,11,13,6.6,1,Y
IDCJAC0009,80088,1913,11,14,0.0,,Y
IDCJAC0009,80088,1913,11,15,0.0,,Y
IDCJAC0009,80088,1913,11,16,0.0,,Y
IDCJAC0009,80088,1913,11,17,0.0,,Y
IDCJAC0009,80088,1913,11,18,0.0,,Y
IDCJAC0009,80088,1913,11,19,0.0,,Y
IDCJAC0009,80088,1913,11,20,0.0,,Y
IDCJAC0009,80088,1913,11,21,1.3,1,Y
IDCJAC0009,80088,1913,11,22,0.0,,Y
IDCJAC0009,80088,1913,11,23,0.0,,Y
IDCJAC0009,80088,1913,11,24,0.0,,Y
IDCJAC0009,80088,1913,11,25,0.0,,Y
IDCJAC0009,80088,1913,11,26,0.0,,Y
IDCJAC0009,80088,1913,11,27,0.0,,Y
IDCJAC0009,80088,1913,11,28,0.0,,Y
IDCJAC0009,80088,1913,11,29,0.0,,Y
IDCJAC0009,80088,1913,11,30,0.0,,Y
IDCJAC0009,80088,1913,12,01,0.0,,Y
IDCJAC0009,80088,1913,12,02,0.0,,Y
IDCJAC0009,80088,1913,12,03,0.0,,Y
IDCJAC0009,80088,1913,12,04,0.0,,Y
IDCJAC0009,80088,1913,12,05,0.0,,Y
IDCJAC0009,80088,1913,12,06,0.0,,Y
IDCJAC0009,80088,1913,12,07,0.0,,Y
IDCJAC0009,80088,1913,12,08,0.0,,Y
IDCJAC0009,80088,1913,12,09,0.0,,Y
IDCJAC0009,80088,1913,12,10,0.0,,Y
IDCJAC0009,80088,1913,12,11,0.0,,Y
IDCJAC0009,80088,1913,12,12,0.0,,Y
IDCJAC0009,80088,1913,12,13,0.0,,Y
IDCJAC0009,80088,1913,12,14,0.0,,Y
IDCJAC0009,80088,1913,12,15,0.0,,Y
IDCJAC0009,80088,1913,12,16,0.0,,Y
IDCJAC0009,80088,1913,12,17,0.0,,Y
IDCJAC0009,80088,1913,12,18,0.0,,Y
IDCJAC0009,80088,1913,12,19,0.0,,Y
IDCJAC0009,80088,1913,12,20,0.0,,Y
IDCJAC0009,80088,1913,12,21,0.0,,Y
IDCJAC0009,80088,1913,12,22,0.0,,Y
IDCJAC0009,80088,1913,12,23,11.2,1,Y
IDCJAC0009,80088,1913,12,24,0.0,,Y
IDCJAC0009,80088,1913,12,25,0.0,,Y
IDCJAC0009,80088,1913,12,26,0.0,,Y
IDCJAC0009,80088,1913,12,27,0.0,,Y
IDCJAC0009,80088,1913,12,28,0.0,,Y
IDCJAC0009,80088,1913,12,29,0.0,,Y
IDCJAC0009,80088,1913,12,30,0.0,,Y
IDCJAC0009,80088,1913,12,31,0.8,1,Y
IDCJAC0009,80088,1914,01,01,0.0,,Y
IDCJAC0009,80088,1914,01,02,0.0,,Y
IDCJAC0009,80088,1914,01,03,0.0,,Y
IDCJAC0009,80088,1914,01,04,0.0,,Y
IDCJAC0009,80088,1914,01,05,0.0,,Y
IDCJAC0009,80088,1914,01,06,0.0,,Y
IDCJAC0009,80088,1914,01,07,0.0,,Y
IDCJAC0009,80088,1914,01,08,0.0,,Y
IDCJAC0009,80088,1914,01,09,0.0,,Y
IDCJAC0009,80088,1914,01,10,0.0,,Y
IDCJAC0009,80088,1914,01,11,0.0,,Y
IDCJAC0009,80088,1914,01,12,0.0,,Y
IDCJAC0009,80088,1914,01,13,0.0,,Y
IDCJAC0009,80088,1914,01,14,0.0,,Y
IDCJAC0009,80088,1914,01,15,0.0,,Y
IDCJAC0009,80088,1914,01,16,0.0,,Y
IDCJAC0009,80088,1914,01,17,0.0,,Y
IDCJAC0009,80088,1914,01,18,0.0,,Y
IDCJAC0009,80088,1914,01,19,0.0,,Y
IDCJAC0009,80088,1914,01,20,0.0,,Y
IDCJAC0009,80088,1914,01,21,0.0,,Y
IDCJAC0009,80088,1914,01,22,0.0,,Y
IDCJAC0009,80088,1914,01,23,0.0,,Y
IDCJAC0009,80088,1914,01,24,0.0,,Y
IDCJAC0009,80088,1914,01,25,0.0,,Y
IDCJAC0009,80088,1914,01,26,0.0,,Y
IDCJAC0009,80088,1914,01,27,0.0,,Y
IDCJAC0009,80088,1914,01,28,0.0,,Y
IDCJAC0009,80088,1914,01,29,0.0,,Y
IDCJAC0009,80088,1914,01,30,0.0,,Y
IDCJAC0009,80088,1914,01,31,0.0,,Y
IDCJAC0009,80088,1914,02,01,0.0,,Y
IDCJAC0009,80088,1914,02,02,0.0,,Y
IDCJAC0009,80088,1914,02,03,0.0,,Y
IDCJAC0009,80088,1914,02,04,0.0,,Y
IDCJAC0009,80088,1914,02,05,0.0,,Y
IDCJAC0009,80088,1914,02,06,0.0,,Y
IDCJAC0009,80088,1914,02,07,0.0,,Y
IDCJAC0009,80088,1914,02,08,0.0,,Y
IDCJAC0009,80088,1914,02,09,0.0,,Y
IDCJAC0009,80088,1914,02,10,0.0,,Y
IDCJAC0009,80088,1914,02,11,0.0,,Y
IDCJAC0009,80088,1914,02,12,0.0,,Y
IDCJAC0009,80088,1914,02,13,0.0,,Y
IDCJAC0009,80088,1914,02,14,0.0,,Y
IDCJAC0009,80088,1914,02,15,0.0,,Y
IDCJAC0009,80088,1914,02,16,0.0,,Y
IDCJAC0009,80088,1914,02,17,0.0,,Y
IDCJAC0009,80088,1914,02,18,0.0,,Y
IDCJAC0009,80088,1914,02,19,0.0,,Y
IDCJAC0009,80088,1914,02,20,0.0,,Y
IDCJAC0009,80088,1914,02,21,0.0,,Y
IDCJAC0009,80088,1914,02,22,0.0,,Y
IDCJAC0009,80088,1914,02,23,0.0,,Y
IDCJAC0009,80088,1914,02,24,0.0,,Y
IDCJAC0009,80088,1914,02,25,0.0,,Y
IDCJAC0009,80088,1914,02,26,0.0,,Y
IDCJAC0009,80088,1914,02,27,0.0,,Y
IDCJAC0009,80088,1914,02,28,0.0,,Y
IDCJAC0009,80088,1914,03,01,0.0,,Y
IDCJAC0009,80088,1914,03,02,0.0,,Y
IDCJAC0009,80088,1914,03,03,0.0,,Y
IDCJAC0009,80088,1914,03,04,0.0,,Y
IDCJAC0009,80088,1914,03,05,0.0,,Y
IDCJAC0009,80088,1914,03,06,0.0,,Y
IDCJAC0009,80088,1914,03,07,0.0,,Y
IDCJAC0009,80088,1914,03,08,0.0,,Y
IDCJAC0009,80088,1914,03,09,0.0,,Y
IDCJAC0009,80088,1914,03,10,0.0,,Y
IDCJAC0009,80088,1914,03,11,0.0,,Y
IDCJAC0009,80088,1914,03,12,0.0,,Y
IDCJAC0009,80088,1914,03,13,3.0,1,Y
IDCJAC0009,80088,1914,03,14,0.0,,Y
IDCJAC0009,80088,1914,03,15,0.0,,Y
IDCJAC0009,80088,1914,03,16,0.0,,Y
IDCJAC0009,80088,1914,03,17,0.0,,Y
IDCJAC0009,80088,1914,03,18,0.0,,Y
IDCJAC0009,80088,1914,03,19,0.0,,Y
IDCJAC0009,80088,1914,03,20,0.0,,Y
IDCJAC0009,80088,1914,03,21,0.0,,Y
IDCJAC0009,80088,1914,03,22,0.0,,Y
IDCJAC0009,80088,1914,03,23,0.0,,Y
IDCJAC0009,80088,1914,03,24,0.0,,Y
IDCJAC0009,80088,1914,03,25,6.6,1,Y
IDCJAC0009,80088,1914,03,26,0.0,,Y
IDCJAC0009,80088,1914,03,27,2.0,1,Y
IDCJAC0009,80088,1914,03,28,0.0,,Y
IDCJAC0009,80088,1914,03,29,0.0,,Y
IDCJAC0009,80088,1914,03,30,0.0,,Y
IDCJAC0009,80088,1914,03,31,0.0,,Y
IDCJAC0009,80088,1914,04,01,0.0,,Y
IDCJAC0009,80088,1914,04,02,0.0,,Y
IDCJAC0009,80088,1914,04,03,0.0,,Y
IDCJAC0009,80088,1914,04,04,0.0,,Y
IDCJAC0009,80088,1914,04,05,0.0,,Y
IDCJAC0009,80088,1914,04,06,0.0,,Y
IDCJAC0009,80088,1914,04,07,0.0,,Y
IDCJAC0009,80088,1914,04,08,0.0,,Y
IDCJAC0009,80088,1914,04,09,0.0,,Y
IDCJAC0009,80088,1914,04,10,0.0,,Y
IDCJAC0009,80088,1914,04,11,0.0,,Y
IDCJAC0009,80088,1914,04,12,0.0,,Y
IDCJAC0009,80088,1914,04,13,0.0,,Y
IDCJAC0009,80088,1914,04,14,0.0,,Y
IDCJAC0009,80088,1914,04,15,0.0,,Y
IDCJAC0009,80088,1914,04,16,0.0,,Y
IDCJAC0009,80088,1914,04,17,0.0,,Y
IDCJAC0009,80088,1914,04,18,2.5,1,Y
IDCJAC0009,80088,1914,04,19,3.6,1,Y
IDCJAC0009,80088,1914,04,20,0.0,,Y
IDCJAC0009,80088,1914,04,21,20.1,1,Y
IDCJAC0009,80088,1914,04,22,2.8,1,Y
IDCJAC0009,80088,1914,04,23,6.6,1,Y
IDCJAC0009,80088,1914,04,24,0.0,,Y
IDCJAC0009,80088,1914,04,25,0.0,,Y
IDCJAC0009,80088,1914,04,26,0.0,,Y
IDCJAC0009,80088,1914,04,27,0.0,,Y
IDCJAC0009,80088,1914,04,28,0.0,,Y
IDCJAC0009,80088,1914,04,29,0.0,,Y
IDCJAC0009,80088,1914,04,30,0.0,,Y
IDCJAC0009,80088,1914,05,01,0.0,,Y
IDCJAC0009,80088,1914,05,02,0.0,,Y
IDCJAC0009,80088,1914,05,03,0.0,,Y
IDCJAC0009,80088,1914,05,04,0.0,,Y
IDCJAC0009,80088,1914,05,05,0.0,,Y
IDCJAC0009,80088,1914,05,06,0.0,,Y
IDCJAC0009,80088,1914,05,07,0.0,,Y
IDCJAC0009,80088,1914,05,08,0.0,,Y
IDCJAC0009,80088,1914,05,09,0.0,,Y
IDCJAC0009,80088,1914,05,10,0.0,,Y
IDCJAC0009,80088,1914,05,11,0.0,,Y
IDCJAC0009,80088,1914,05,12,14.2,1,Y
IDCJAC0009,80088,1914,05,13,0.0,,Y
IDCJAC0009,80088,1914,05,14,0.0,,Y
IDCJAC0009,80088,1914,05,15,0.0,,Y
IDCJAC0009,80088,1914,05,16,0.0,,Y
IDCJAC0009,80088,1914,05,17,0.0,,Y
IDCJAC0009,80088,1914,05,18,0.0,,Y
IDCJAC0009,80088,1914,05,19,2.5,1,Y
IDCJAC0009,80088,1914,05,20,0.0,,Y
IDCJAC0009,80088,1914,05,21,0.0,,Y
IDCJAC0009,80088,1914,05,22,0.0,,Y
IDCJAC0009,80088,1914,05,23,0.0,,Y
IDCJAC0009,80088,1914,05,24,0.0,,Y
IDCJAC0009,80088,1914,05,25,0.0,,Y
IDCJAC0009,80088,1914,05,26,4.6,1,Y
IDCJAC0009,80088,1914,05,27,0.0,,Y
IDCJAC0009,80088,1914,05,28,0.0,,Y
IDCJAC0009,80088,1914,05,29,0.0,,Y
IDCJAC0009,80088,1914,05,30,0.0,,Y
IDCJAC0009,80088,1914,05,31,0.0,,Y
IDCJAC0009,80088,1914,06,01,0.0,,Y
IDCJAC0009,80088,1914,06,02,0.0,,Y
IDCJAC0009,80088,1914,06,03,0.0,,Y
IDCJAC0009,80088,1914,06,04,0.0,,Y
IDCJAC0009,80088,1914,06,05,0.0,,Y
IDCJAC0009,80088,1914,06,06,0.0,,Y
IDCJAC0009,80088,1914,06,07,0.0,,Y
IDCJAC0009,80088,1914,06,08,0.0,,Y
IDCJAC0009,80088,1914,06,09,0.0,,Y
IDCJAC0009,80088,1914,06,10,0.0,,Y
IDCJAC0009,80088,1914,06,11,0.0,,Y
IDCJAC0009,80088,1914,06,12,0.0,,Y
IDCJAC0009,80088,1914,06,13,0.0,,Y
IDCJAC0009,80088,1914,06,14,0.0,,Y
IDCJAC0009,80088,1914,06,15,0.0,,Y
IDCJAC0009,80088,1914,06,16,4.6,1,Y
IDCJAC0009,80088,1914,06,17,0.0,,Y
IDCJAC0009,80088,1914,06,18,0.0,,Y
IDCJAC0009,80088,1914,06,19,0.0,,Y
IDCJAC0009,80088,1914,06,20,0.0,,Y
IDCJAC0009,80088,1914,06,21,0.0,,Y
IDCJAC0009,80088,1914,06,22,0.0,,Y
IDCJAC0009,80088,1914,06,23,0.0,,Y
IDCJAC0009,80088,1914,06,24,0.0,,Y
IDCJAC0009,80088,1914,06,25,0.0,,Y
IDCJAC0009,80088,1914,06,26,0.0,,Y
IDCJAC0009,80088,1914,06,27,0.0,,Y
IDCJAC0009,80088,1914,06,28,0.0,,Y
IDCJAC0009,80088,1914,06,29,0.0,,Y
IDCJAC0009,80088,1914,06,30,0.0,,Y
IDCJAC0009,80088,1914,07,01,0.0,,Y
IDCJAC0009,80088,1914,07,02,0.0,,Y
IDCJAC0009,80088,1914,07,03,0.0,,Y
IDCJAC0009,80088,1914,07,04,0.0,,Y
IDCJAC0009,80088,1914,07,05,0.0,,Y
IDCJAC0009,80088,1914,07,06,0.0,,Y
IDCJAC0009,80088,1914,07,07,0.0,,Y
IDCJAC0009,80088,1914,07,08,0.0,,Y
IDCJAC0009,80088,1914,07,09,1.5,1,Y
IDCJAC0009,80088,1914,07,10,0.0,,Y
IDCJAC0009,80088,1914,07,11,0.0,,Y
IDCJAC0009,80088,1914,07,12,0.0,,Y
IDCJAC0009,80088,1914,07,13,0.0,,Y
IDCJAC0009,80088,1914,07,14,0.0,,Y
IDCJAC0009,80088,1914,07,15,0.0,,Y
IDCJAC0009,80088,1914,07,16,0.0,,Y
IDCJAC0009,80088,1914,07,17,0.0,,Y
IDCJAC0009,80088,1914,07,18,0.0,,Y
IDCJAC0009,80088,1914,07,19,0.0,,Y
IDCJAC0009,80088,1914,07,20,0.0,,Y
IDCJAC0009,80088,1914,07,21,0.0,,Y
IDCJAC0009,80088,1914,07,22,0.0,,Y
IDCJAC0009,80088,1914,07,23,0.0,,Y
IDCJAC0009,80088,1914,07,24,0.0,,Y
IDCJAC0009,80088,1914,07,25,0.0,,Y
IDCJAC0009,80088,1914,07,26,0.0,,Y
IDCJAC0009,80088,1914,07,27,0.0,,Y
IDCJAC0009,80088,1914,07,28,0.0,,Y
IDCJAC0009,80088,1914,07,29,8.9,1,Y
IDCJAC0009,80088,1914,07,30,0.0,,Y
IDCJAC0009,80088,1914,07,31,0.0,,Y
IDCJAC0009,80088,1914,08,01,0.0,,Y
IDCJAC0009,80088,1914,08,02,0.0,,Y
IDCJAC0009,80088,1914,08,03,0.0,,Y
IDCJAC0009,80088,1914,08,04,0.0,,Y
IDCJAC0009,80088,1914,08,05,0.0,,Y
IDCJAC0009,80088,1914,08,06,0.0,,Y
IDCJAC0009,80088,1914,08,07,0.0,,Y
IDCJAC0009,80088,1914,08,08,0.0,,Y
IDCJAC0009,80088,1914,08,09,0.0,,Y
IDCJAC0009,80088,1914,08,10,0.0,,Y
IDCJAC0009,80088,1914,08,11,0.0,,Y
IDCJAC0009,80088,1914,08,12,0.0,,Y
IDCJAC0009,80088,1914,08,13,0.0,,Y
IDCJAC0009,80088,1914,08,14,0.0,,Y
IDCJAC0009,80088,1914,08,15,0.0,,Y
IDCJAC0009,80088,1914,08,16,0.0,,Y
IDCJAC0009,80088,1914,08,17,0.0,,Y
IDCJAC0009,80088,1914,08,18,0.0,,Y
IDCJAC0009,80088,1914,08,19,0.0,,Y
IDCJAC0009,80088,1914,08,20,0.0,,Y
IDCJAC0009,80088,1914,08,21,0.0,,Y
IDCJAC0009,80088,1914,08,22,1.5,1,Y
IDCJAC0009,80088,1914,08,23,0.0,,Y
IDCJAC0009,80088,1914,08,24,0.0,,Y
IDCJAC0009,80088,1914,08,25,0.0,,Y
IDCJAC0009,80088,1914,08,26,0.0,,Y
IDCJAC0009,80088,1914,08,27,0.0,,Y
IDCJAC0009,80088,1914,08,28,0.0,,Y
IDCJAC0009,80088,1914,08,29,0.0,,Y
IDCJAC0009,80088,1914,08,30,0.0,,Y
IDCJAC0009,80088,1914,08,31,2.8,1,Y
IDCJAC0009,80088,1914,09,01,0.0,,Y
IDCJAC0009,80088,1914,09,02,0.0,,Y
IDCJAC0009,80088,1914,09,03,0.0,,Y
IDCJAC0009,80088,1914,09,04,0.0,,Y
IDCJAC0009,80088,1914,09,05,0.0,,Y
IDCJAC0009,80088,1914,09,06,0.0,,Y
IDCJAC0009,80088,1914,09,07,0.0,,Y
IDCJAC0009,80088,1914,09,08,0.0,,Y
IDCJAC0009,80088,1914,09,09,0.0,,Y
IDCJAC0009,80088,1914,09,10,0.0,,Y
IDCJAC0009,80088,1914,09,11,0.0,,Y
IDCJAC0009,80088,1914,09,12,0.0,,Y
IDCJAC0009,80088,1914,09,13,0.0,,Y
IDCJAC0009,80088,1914,09,14,0.0,,Y
IDCJAC0009,80088,1914,09,15,0.0,,Y
IDCJAC0009,80088,1914,09,16,0.0,,Y
IDCJAC0009,80088,1914,09,17,0.0,,Y
IDCJAC0009,80088,1914,09,18,0.0,,Y
IDCJAC0009,80088,1914,09,19,0.0,,Y
IDCJAC0009,80088,1914,09,20,0.0,,Y
IDCJAC0009,80088,1914,09,21,0.0,,Y
IDCJAC0009,80088,1914,09,22,0.0,,Y
IDCJAC0009,80088,1914,09,23,0.0,,Y
IDCJAC0009,80088,1914,09,24,2.8,1,Y
IDCJAC0009,80088,1914,09,25,0.0,,Y
IDCJAC0009,80088,1914,09,26,0.0,,Y
IDCJAC0009,80088,1914,09,27,0.0,,Y
IDCJAC0009,80088,1914,09,28,0.0,,Y
IDCJAC0009,80088,1914,09,29,0.0,,Y
IDCJAC0009,80088,1914,09,30,0.0,,Y
IDCJAC0009,80088,1914,10,01,0.0,,Y
IDCJAC0009,80088,1914,10,02,0.0,,Y
IDCJAC0009,80088,1914,10,03,0.0,,Y
IDCJAC0009,80088,1914,10,04,0.0,,Y
IDCJAC0009,80088,1914,10,05,0.0,,Y
IDCJAC0009,80088,1914,10,06,0.0,,Y
IDCJAC0009,80088,1914,10,07,0.0,,Y
IDCJAC0009,80088,1914,10,08,0.0,,Y
IDCJAC0009,80088,1914,10,09,0.0,,Y
IDCJAC0009,80088,1914,10,10,0.0,,Y
IDCJAC0009,80088,1914,10,11,0.0,,Y
IDCJAC0009,80088,1914,10,12,0.0,,Y
IDCJAC0009,80088,1914,10,13,0.0,,Y
IDCJAC0009,80088,1914,10,14,0.0,,Y
IDCJAC0009,80088,1914,10,15,0.0,,Y
IDCJAC0009,80088,1914,10,16,0.0,,Y
IDCJAC0009,80088,1914,10,17,0.0,,Y
IDCJAC0009,80088,1914,10,18,0.0,,Y
IDCJAC0009,80088,1914,10,19,0.0,,Y
IDCJAC0009,80088,1914,10,20,0.0,,Y
IDCJAC0009,80088,1914,10,21,0.0,,Y
IDCJAC0009,80088,1914,10,22,0.0,,Y
IDCJAC0009,80088,1914,10,23,0.0,,Y
IDCJAC0009,80088,1914,10,24,0.0,,Y
IDCJAC0009,80088,1914,10,25,0.0,,Y
IDCJAC0009,80088,1914,10,26,0.0,,Y
IDCJAC0009,80088,1914,10,27,0.0,,Y
IDCJAC0009,80088,1914,10,28,0.0,,Y
IDCJAC0009,80088,1914,10,29,0.0,,Y
IDCJAC0009,80088,1914,10,30,0.0,,Y
IDCJAC0009,80088,1914,10,31,0.0,,Y
IDCJAC0009,80088,1914,11,01,0.0,,Y
IDCJAC0009,80088,1914,11,02,0.0,,Y
IDCJAC0009,80088,1914,11,03,0.0,,Y
IDCJAC0009,80088,1914,11,04,0.0,,Y
IDCJAC0009,80088,1914,11,05,0.0,,Y
IDCJAC0009,80088,1914,11,06,0.0,,Y
IDCJAC0009,80088,1914,11,07,0.0,,Y
IDCJAC0009,80088,1914,11,08,0.0,,Y
IDCJAC0009,80088,1914,11,09,0.0,,Y
IDCJAC0009,80088,1914,11,10,0.0,,Y
IDCJAC0009,80088,1914,11,11,0.0,,Y
IDCJAC0009,80088,1914,11,12,0.0,,Y
IDCJAC0009,80088,1914,11,13,0.0,,Y
IDCJAC0009,80088,1914,11,14,0.0,,Y
IDCJAC0009,80088,1914,11,15,0.5,1,Y
IDCJAC0009,80088,1914,11,16,0.0,,Y
IDCJAC0009,80088,1914,11,17,2.3,1,Y
IDCJAC0009,80088,1914,11,18,0.0,,Y
IDCJAC0009,80088,1914,11,19,0.0,,Y
IDCJAC0009,80088,1914,11,20,0.0,,Y
IDCJAC0009,80088,1914,11,21,0.0,,Y
IDCJAC0009,80088,1914,11,22,0.0,,Y
IDCJAC0009,80088,1914,11,23,1.0,1,Y
IDCJAC0009,80088,1914,11,24,0.0,,Y
IDCJAC0009,80088,1914,11,25,9.9,1,Y
IDCJAC0009,80088,1914,11,26,0.5,1,Y
IDCJAC0009,80088,1914,11,27,0.0,,Y
IDCJAC0009,80088,1914,11,28,0.0,,Y
IDCJAC0009,80088,1914,11,29,0.0,,Y
IDCJAC0009,80088,1914,11,30,0.0,,Y
IDCJAC0009,80088,1914,12,01,0.0,,Y
IDCJAC0009,80088,1914,12,02,0.0,,Y
IDCJAC0009,80088,1914,12,03,0.0,,Y
IDCJAC0009,80088,1914,12,04,0.0,,Y
IDCJAC0009,80088,1914,12,05,0.0,,Y
IDCJAC0009,80088,1914,12,06,0.0,,Y
IDCJAC0009,80088,1914,12,07,0.0,,Y
IDCJAC0009,80088,1914,12,08,0.0,,Y
IDCJAC0009,80088,1914,12,09,0.0,,Y
IDCJAC0009,80088,1914,12,10,0.0,,Y
IDCJAC0009,80088,1914,12,11,0.0,,Y
IDCJAC0009,80088,1914,12,12,0.0,,Y
IDCJAC0009,80088,1914,12,13,8.1,1,Y
IDCJAC0009,80088,1914,12,14,0.0,,Y
IDCJAC0009,80088,1914,12,15,0.0,,Y
IDCJAC0009,80088,1914,12,16,0.0,,Y
IDCJAC0009,80088,1914,12,17,0.0,,Y
IDCJAC0009,80088,1914,12,18,0.0,,Y
IDCJAC0009,80088,1914,12,19,0.0,,Y
IDCJAC0009,80088,1914,12,20,0.0,,Y
IDCJAC0009,80088,1914,12,21,0.0,,Y
IDCJAC0009,80088,1914,12,22,12.7,1,Y
IDCJAC0009,80088,1914,12,23,2.3,1,Y
IDCJAC0009,80088,1914,12,24,24.4,1,Y
IDCJAC0009,80088,1914,12,25,0.0,,Y
IDCJAC0009,80088,1914,12,26,2.3,1,Y
IDCJAC0009,80088,1914,12,27,0.0,,Y
IDCJAC0009,80088,1914,12,28,0.0,,Y
IDCJAC0009,80088,1914,12,29,0.0,,Y
IDCJAC0009,80088,1914,12,30,0.0,,Y
IDCJAC0009,80088,1914,12,31,0.0,,Y
IDCJAC0009,80088,1915,01,01,0.0,,Y
IDCJAC0009,80088,1915,01,02,0.0,,Y
IDCJAC0009,80088,1915,01,03,0.0,,Y
IDCJAC0009,80088,1915,01,04,0.0,,Y
IDCJAC0009,80088,1915,01,05,0.0,,Y
IDCJAC0009,80088,1915,01,06,0.0,,Y
IDCJAC0009,80088,1915,01,07,0.0,,Y
IDCJAC0009,80088,1915,01,08,0.0,,Y
IDCJAC0009,80088,1915,01,09,0.0,,Y
IDCJAC0009,80088,1915,01,10,0.0,,Y
IDCJAC0009,80088,1915,01,11,0.0,,Y
IDCJAC0009,80088,1915,01,12,0.0,,Y
IDCJAC0009,80088,1915,01,13,0.0,,Y
IDCJAC0009,80088,1915,01,14,0.0,,Y
IDCJAC0009,80088,1915,01,15,0.0,,Y
IDCJAC0009,80088,1915,01,16,0.0,,Y
IDCJAC0009,80088,1915,01,17,0.0,,Y
IDCJAC0009,80088,1915,01,18,0.0,,Y
IDCJAC0009,80088,1915,01,19,0.0,,Y
IDCJAC0009,80088,1915,01,20,7.1,1,Y
IDCJAC0009,80088,1915,01,21,0.0,,Y
IDCJAC0009,80088,1915,01,22,0.0,,Y
IDCJAC0009,80088,1915,01,23,0.0,,Y
IDCJAC0009,80088,1915,01,24,0.0,,Y
IDCJAC0009,80088,1915,01,25,0.0,,Y
IDCJAC0009,80088,1915,01,26,0.0,,Y
IDCJAC0009,80088,1915,01,27,0.0,,Y
IDCJAC0009,80088,1915,01,28,0.0,,Y
IDCJAC0009,80088,1915,01,29,0.0,,Y
IDCJAC0009,80088,1915,01,30,0.0,,Y
IDCJAC0009,80088,1915,01,31,6.1,1,Y
IDCJAC0009,80088,1915,02,01,0.0,,Y
IDCJAC0009,80088,1915,02,02,0.0,,Y
IDCJAC0009,80088,1915,02,03,0.0,,Y
IDCJAC0009,80088,1915,02,04,0.0,,Y
IDCJAC0009,80088,1915,02,05,0.0,,Y
IDCJAC0009,80088,1915,02,06,0.0,,Y
IDCJAC0009,80088,1915,02,07,0.0,,Y
IDCJAC0009,80088,1915,02,08,0.0,,Y
IDCJAC0009,80088,1915,02,09,0.0,,Y
IDCJAC0009,80088,1915,02,10,0.0,,Y
IDCJAC0009,80088,1915,02,11,0.0,,Y
IDCJAC0009,80088,1915,02,12,0.0,,Y
IDCJAC0009,80088,1915,02,13,0.0,,Y
IDCJAC0009,80088,1915,02,14,0.0,,Y
IDCJAC0009,80088,1915,02,15,0.0,,Y
IDCJAC0009,80088,1915,02,16,0.0,,Y
IDCJAC0009,80088,1915,02,17,0.0,,Y
IDCJAC0009,80088,1915,02,18,0.0,,Y
IDCJAC0009,80088,1915,02,19,0.0,,Y
IDCJAC0009,80088,1915,02,20,0.0,,Y
IDCJAC0009,80088,1915,02,21,0.0,,Y
IDCJAC0009,80088,1915,02,22,0.0,,Y
IDCJAC0009,80088,1915,02,23,0.0,,Y
IDCJAC0009,80088,1915,02,24,0.0,,Y
IDCJAC0009,80088,1915,02,25,0.0,,Y
IDCJAC0009,80088,1915,02,26,0.0,,Y
IDCJAC0009,80088,1915,02,27,0.0,,Y
